ISSUE_ID,COST
CLOISTER-21,12.9962397
MIN-172,336.50699099999997
MIN-241,630.28053825
MIN-570,29.1902211
MIN-573,630.28053825
MIN-602,1260.5610765
MIN-645,630.28053825
MIN-646,2.7327037499999998
MIN-659,4.78735125
MIN-663,630.28053825
MIN-664,91.30461539999999
MIN-665,412.29894449999995
PAN-1,61.22139375
PAN-101,14.651864400000001
PAN-109,45.600809999999996
PAN-17,5.80417755
PAN-18,5.225897849999999
PAN-19,23.6153349
PAN-20,15.996871500000001
PAN-27,235.2913995
PAN-29,11.729568899999999
PAN-3,12.939917099999999
PAN-30,9.720063149999998
PAN-31,38.155465199999995
PAN-33,114.247059
PAN-35,64.162557
PAN-4,15.447205049999997
PAN-45,53.374384500000005
PAN-50,79.95442800000001
PAN-53,12.3351381
PAN-6,18.4919583
PAN-66,3.2987852999999996
PAN-68,68.5135485
PAN-70,49.18194509999999
PAN-72,41.3314335
PAN-73,31.957115099999996
PAN-74,197.42449950000002
PAN-75,144.965484
PAN-76,165.38832000000002
PAN-8,68.93309325
PAN-80,51.029712599999996
PAN-81,47.664295499999994
PAN-82,122.7607485
PAN-83,20.451714
PAN-84,26.988894
PAN-86,7.544793899999998
PAN-91,37.421754899999996
PAN-93,20.1402324
PAN-97,36.5511615
